"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"PLEKHG2"	-1.113	-0.322	-0.898	1.116	1.449	0.47	1.471	0.586	-1.231	-1.676	2.079	0.31	-0.647
"PLEKHG3"	-0.595	-0.426	-0.244	0.751	-1.046	2.523	0.597	-0.105	-0.291	0.69	0.937	-1.025	-0.49
"PLEKHG4"	1.798	0.365	-0.953	1.073	1.216	-1.414	-0.264	0.226	-0.115	0.664	0.046	0.216	0.291
"PLEKHG5"	-1.742	0.414	-1.156	0.558	0.463	0.181	-2.297	0.197	-0.441	0.306	1.359	-4.995	-0.574
"PLEKHH1"	-1.328	0.2	-0.399	0.105	-0.252	-1.954	-0.527	-0.111	-0.222	0.179	-1.399	-0.329	-3.474
"PLEKHH2"	-1.14	-1.439	-2.258	0.147	-0.297	-1.973	0.094	-0.455	-3.057	-3.669	0.539	-2.442	-2.127
"PLEKHM1"	-0.609	-0.522	-0.678	-0.37	0.108	2.168	0.272	-0.012	-0.642	-0.853	1.612	-1.04	-0.458
"PLEKHM1P"	-1.83	0.019	-1.401	0.12	0.174	2.171	-0.349	-0.487	-1.612	-1.761	0.563	-2.292	-1.777
"PLEKHM2"	-0.82	-0.121	-0.43	0.282	0.475	-0.136	-1.315	0.501	-1.059	-0.916	1.169	-0.007	-0.221
"PLEKHM3"	-1.108	-0.623	-0.477	0.208	-0.291	2.356	0.673	-0.19	-0.282	-0.301	0.405	0.063	-0.566
"PLEKHN1"	-0.906	0.91	0.463	-0.87	0.811	-0.585	-0.055	0.147	1.081	0.835	1.984	-4.652	1.753
"PLEKHO1"	-1.238	-1.422	0.151	0.999	1.654	2.602	0.292	0.933	-0.667	-0.662	3.394	1.497	-0.244
"PLEKHO2"	-0.63	-1.169	-0.429	0.535	1.192	1.487	0.736	0.649	-1.37	-1.6	2.43	2.414	-0.464
"PLG"	-0.672	-0.413	-0.402	-0.082	-4.173	0.44	-0.131	-0.746	-0.65	-0.923	0.577	-0.617	-0.243
"PLGLB1"	-0.815	-0.249	-0.664	0.126	0.209	2.865	-0.976	-1.295	-0.854	-0.982	-0.064	-1.703	-1.38
"PLIN1"	-1.105	-1.371	-6.025	-1.286	0.249	0.249	-0.112	-1.815	-0.546	-0.576	-0.585	-2.461	-1.275
"PLIN2"	-2.639	-0.568	-2.307	-0.434	3.219	0.188	0.566	-0.988	-1.482	-1.972	1.967	-0.816	-0.447
"PLIN3"	0.607	0.246	0.711	-0.294	0.408	-0.249	2.313	0.89	0.679	0.557	2.911	-0.546	0.652
"PLIN4"	-0.926	-2.184	-5.465	-1.802	-0.392	1.309	-1.075	-2.16	-1.57	-1.55	-1.918	-2.712	-1.6
"PLIN5"	-2.08	-0.674	-2.008	-1.373	-1.701	-0.138	-1.663	-1.813	-2.149	-2.836	-4.347	-1.958	-1.781
"PLK1"	0.853	2.913	2.641	1.746	1.065	-2.615	0.447	1.434	1.97	3.075	2.843	2.255	-0.397
"PLK2"	0.83	-0.379	-0.175	0.204	2.308	2.048	-2.185	-0.194	-0.89	-0.949	1.911	-0.527	-0.648
"PLK3"	-0.603	-0.29	-0.852	-0.007	0.779	0.797	0.242	-0.236	-1.488	-1.808	1.959	-0.855	0.071
"PLK4"	0.789	1.648	1.452	1.175	0.555	-1.222	0.701	0.78	1.028	1.776	1.476	0.712	0.364
"PLLP"	1.108	-0.088	-0.863	-1.085	-1.067	0.045	0.001	0.311	-1.731	-2.324	0.823	-4.829	-0.554
"PLN"	-1.353	-3.669	-1.461	-0.986	0.457	0.28	0.353	-0.023	-1.495	-2.179	1.648	-1.968	-1.823
"PLOD3"	1.267	0.413	0.143	2.045	1.407	-0.112	1.209	1.338	-0.161	-0.147	1.793	3.496	-0.291
"PLP1"	-1.088	-2.918	-1.719	-0.909	-0.444	0.12	1.047	-0.293	-0.789	-0.79	0.424	4.286	-1.602
"PLS1"	-0.867	0.242	1.257	-0.821	-0.485	-2.223	-0.058	0.745	1.909	0.751	3.097	-0.518	0.763
"PLSCR1"	-0.658	0.345	-0.506	0.896	0.307	-0.187	0.894	-0.183	-0.272	-0.054	2.218	1.082	-0.48
"PLSCR4"	-1.479	-2.038	-2.177	0.035	0.149	-0.704	1.045	-1.147	-1.702	-2.007	1.168	-1.122	-1.891
"PLTP"	-2.825	-0.327	-1.368	0.748	0.101	-0.643	2.254	0.042	0.074	0.698	0.006	1.668	-0.655
"PLXNA3"	-1.337	0.315	0.304	1.228	0.967	-0.884	0.638	-0.017	-0.471	-0.893	0.701	-1.199	-1.052
"PLXNB1"	-1.614	0.302	-0.565	0.079	-1.324	-0.294	0.723	-1.099	-1.448	-1.032	-0.308	-2.673	-1.765
"PLXNB2"	-0.591	0.627	0.36	0.601	0.242	1.713	0.817	0.249	-0.15	-0.168	1.663	-0.088	0.299
"PLXNB3"	-0.967	-0.249	-0.872	1.193	0.372	-0.025	0.683	-0.143	0.838	1.064	1.049	0.947	-1.324
"PLXNC1"	0.593	-0.033	0.797	0.649	1.157	3.887	0.222	0.926	-0.506	-1.048	2.081	2.989	1.759
"PLXND1"	-0.623	-0.462	-0.478	1.602	1.696	3.352	0.045	1.147	-0.88	-1.998	2.251	0.893	-0.066
"PMAIP1"	1.256	0.571	1.763	0.444	0.028	0.291	0.75	0.012	1.265	2.324	2.187	-0.618	1.376
"PMEPA1"	-0.744	0.761	0.792	2.526	1.728	0.77	0.512	0.316	0.656	0.181	3.455	-0.769	0.396
"PMP22"	-1.165	-2.555	-0.837	0.476	1.082	-3.827	1.034	0.161	-2.079	-2.516	2.911	0.476	-1.324
"PMS1"	-0.666	-0.025	-0.202	0.26	0.28	0.992	0.703	-0.102	-0.28	-0.233	0.394	0.175	-0.694
"PMS2P3"	-0.877	0.342	-0.611	0.451	0.296	-0.256	0.086	-0.134	-0.863	-0.801	0.299	-0.695	-1.662
"PNISR"	-1.927	-0.327	-1.493	0.522	-0.102	0.672	0.084	-1.335	-2.011	-2.097	-0.432	-1.812	-2.107
"PNMA1"	-0.659	-1.25	0.172	1.189	-0.403	-0.774	0.694	0.823	0.057	-0.055	3.179	1.472	0.602
"PNMA2"	-0.597	-0.962	-0.252	0.018	2.832	0.075	-0.093	-0.114	0.092	-1.77	2.097	0.757	-0.538
"PNMA6A"	1.252	-0.302	-0.448	0.182	0.738	-2.199	-1.639	1.028	0.365	0.105	0.904	1.685	-0.319
"PNMAL2"	-1.233	-0.552	-0.978	0.104	-0.035	0.11	-2.209	-0.05	-0.26	-0.224	0.911	-1.272	-0.018
"PNMT"	-1.302	0.077	-0.752	-0.135	-0.962	-2.849	-1.923	-0.059	-1.913	-2.14	0.226	-1.288	0.326
"PNN"	-1.175	-0.121	-0.516	0.72	0.066	0.681	0.513	-1.079	-0.929	-0.813	0.3	-1.034	-1.637
"PNPLA2"	-0.796	-0.497	-2.117	-0.372	0.02	1.096	0.118	-0.081	-1.381	-2.201	0.401	-1.075	-1.219
"PNPLA7"	-1.512	-1.339	-1.713	-0.892	0.494	1.709	-1.706	-1.176	-1.467	-2.152	-1.385	-3.372	-1.788
"PNPO"	-0.685	0.514	0.956	0.323	-0.691	-0.208	0.874	0.1	0.711	0.65	1.203	0.951	0.242
"PNPT1"	-0.544	0.405	0.412	0.664	-0.163	-0.881	0.62	0.256	0.331	0.976	0.698	0.847	-0.659
"PNRC2"	-0.531	-0.231	0.234	0.251	-0.477	-0.611	0.544	0.24	-0.427	-0.703	1.613	0.369	-0.037
"POC5"	0.783	0.21	0.221	0.717	0.378	-0.32	0.843	0.414	0.115	0.016	0.883	0.135	-0.275
"PODN"	-2.658	-3.55	-1.854	-0.765	0.159	0.089	1.472	-1.025	-1.897	-2.767	2.108	-3.12	-4.522
"PODXL"	-1.068	-0.113	-0.514	0.656	-0.732	1.21	0.447	1.508	-2.064	-2.832	0.492	-0.636	-0.796
"POGZ"	-1.403	-0.365	-0.091	0.448	0.129	1.959	0.024	-0.133	-0.586	-0.801	0.486	-0.386	-1.407
"POLD1"	0.882	1.601	0.587	1.273	0.648	-1.139	0.997	1.274	-0.029	0.363	1.537	0.941	-0.352
"POLD2"	0.756	0.71	0.565	0.665	0.461	-1.628	1.466	0.534	0.538	1.132	0.746	0.836	-0.541
"POLDIP2"	-0.761	0.425	0.499	0.151	-0.563	-0.561	0.569	0.448	0.603	0.852	0.884	0.541	0.03
"POLDIP3"	-0.51	-0.323	0.05	0.255	-0.049	0.54	1.408	0.408	-0.361	-0.128	1.232	0.396	-0.213
"POLG2"	-1.034	0.42	-0.214	0.775	0.648	0.372	0.854	-0.071	-0.405	-0.579	0.203	-0.328	-1.468
"POLI"	-0.973	-0.444	-0.71	0.294	0.161	1.913	0.805	-0.544	-1.01	-1.065	-0.563	-0.773	-2.068
"POLM"	-0.774	-0.04	-0.368	0.549	0.373	1.903	0.722	-0.357	-0.69	-0.941	0.471	-0.33	-1.628
"POLR1A"	-0.531	-0.053	0.509	0.626	-0.18	0.157	0.997	0.561	0.33	0.691	0.929	0.897	-0.363
"POLR1D"	-0.598	0.217	0.077	0.222	0.586	-0.1	-0.084	0.506	-0.307	0.185	-0.239	-0.364	-0.484
"POLR2A"	-1.239	-0.093	-0.034	0.257	-0.181	1.102	0.776	-0.279	-0.222	0.045	0.667	-0.518	-0.352
"POLR2I"	0.639	0.426	0.391	0.025	0.347	-1.423	-0.197	0.688	0.443	0.608	1.045	0.286	0.361
"POLR2J"	0.658	0.895	0.597	0.403	0.249	-1.862	1.264	0.853	0.603	0.801	1.599	0.881	0.272
"POLR2J2"	-0.684	0.13	-0.201	0.283	0.148	2.493	-0.017	-0.146	-0.658	-0.685	-0.13	-0.573	-1.345
"POLR2J3"	-1.38	-0.086	0.027	0.124	0.404	0.506	0.279	0.326	-0.416	-0.063	0.614	-0.326	-0.545
"POLR3E"	-0.678	0.036	0.058	0.279	0.045	-0.457	0.386	0.027	-0.423	-0.434	0.193	-0.892	-1.15
"POLR3GL"	-0.523	-0.744	-0.475	0.158	0.429	-0.642	1.148	0.712	-0.245	-0.771	1.981	0.521	-0.181
"POLR3K"	0.819	0.726	1.622	0.712	-0.055	-1.967	0.295	0.934	0.9	1.044	1.827	1.9	0.437
"POLRMT"	0.9	0.634	0.261	0.453	0.068	-0.778	0.225	0.927	-0.193	-0.075	1.443	0.202	-0.296
"POM121L9P"	-1.526	-0.137	-1.203	0.109	0.006	0.258	0.29	-0.269	-1.026	-1.152	0.062	-0.594	-1.936
"POMC"	-2.223	-0.419	-0.978	-0.086	-0.462	0.398	-0.713	-0.455	-0.967	0.088	-1.745	-1.852	-1.455
"POMP"	0.509	0.501	0.515	0.455	0.234	-1.927	0.444	0.743	0.175	0.223	2.264	1.166	0.414
"POMT2"	0.528	0.86	0.029	0.942	-0.009	0.334	1.03	-0.039	-0.354	-0.256	0.433	0.575	-1.593
"PON2"	-0.61	0.016	0.105	0.995	0.355	0.217	1.194	0.48	-0.098	-1.373	2.04	0.088	0.193
"PON3"	-0.992	-0.486	-1.137	0.173	-1.061	-0.07	0.291	-0.467	1.412	-0.937	0.139	-2.795	-0.431
"POP7"	0.892	1	0.822	0.817	0.39	-2.507	0.177	0.636	0.771	1.269	1.389	0.2	0.535
"POPDC2"	-0.662	-2.652	-0.716	-0.177	1.148	1.438	0.505	-0.017	-1.097	-1.169	1.119	-0.602	-0.664
"POR"	0.778	0.444	-0.192	0.181	-0.448	-1.536	0.64	-0.118	-0.249	-0.47	2.216	-0.154	-0.555
"POT1-AS1"	-0.52	0.065	0.303	0.205	-0.065	-0.954	0.341	0.052	0.161	0.206	0.817	0.291	0.047
"POU2F1"	-0.632	0.034	0.069	0.47	0.047	1.902	0.926	0.248	-0.255	-0.307	0.692	-0.249	-0.464
"POU2F2"	-0.666	-0.788	0.145	0.789	1.009	4.7	0.293	-0.12	-0.131	-0.388	0.672	0.236	-0.262
"PP7080"	0.622	0.227	0.342	0.122	-2.357	-1.312	0.752	0.751	0.676	1.117	1.288	-0.455	-0.202
"PPAN"	0.602	0.571	0.096	0.607	0.557	-0.784	0.601	0.671	0.019	0.592	0.967	0.283	-0.573
"PPAP2B"	-1.529	-2.93	-2.176	-0.482	0.505	0.06	0.9	-0.416	-1.599	-1.697	0.698	-2.855	0.295
"PPAP2C"	1.044	0.863	1.35	1.06	0.044	-0.997	0.139	0.446	3.42	3.235	2.884	-2.429	2.052
"PPARA"	-1.028	-0.952	-0.908	-0.047	-0.71	1.6	0.863	-0.498	-0.173	0.098	0.567	-0.206	-0.407
"PPARGC1A"	-0.731	-1.147	-1.029	-0.925	-1.979	0.35	-0.089	-0.794	-1.275	-1.48	0.188	-1.25	-2.354
"PPDPF"	1.799	0.669	0.914	-0.364	0.198	-1.184	-0.022	1.391	0.241	-0.059	2.38	-0.553	0.499
"PPFIA1"	-0.767	-0.084	-0.026	0.849	-0.147	0.25	0.998	0.238	-0.384	-0.428	1.092	0.031	-0.388
"PPFIA3"	1.107	0.751	0.367	0.491	0.305	-3.894	-1.72	0.644	-0.182	0.354	0.605	-1.52	-0.849
"PPFIBP1"	-0.936	-1.149	-0.649	0.628	0.343	2.749	-1.164	-0.673	-1.832	-0.912	0.651	0.553	-1.144
"PPFIBP2"	-1.111	0.292	0.111	-0.484	-0.167	0.888	0.756	-0.31	-0.216	-0.199	1.335	-1.481	-0.357
"PPHLN1"	0.605	-0.036	0.278	0.474	0.236	0.466	0.705	0.811	0.3	0.53	1.612	0.538	0.244
"PPIA"	0.995	0.991	0.917	0.668	0.394	-1.235	0.192	1.36	0.598	0.851	2.079	0.79	0.329
"PPIAP11"	0.516	0.258	0.211	0.261	0.049	1.047	0.39	0.299	0.402	0.365	0.367	0.332	0.17
"PPIAP22"	2.608	0.912	2.235	0.511	0.484	-1.496	1.775	2.25	1.917	2.365	3.399	2.219	1.715
"PPIB"	0.661	1.063	0.758	0.645	0.658	-0.717	2.081	1.164	0.728	0.676	1.412	1.822	0.229
"PPIEL"	-0.746	-0.284	-0.491	-0.041	0.13	0.934	-0.464	-0.202	-0.573	-0.657	-0.155	-0.688	-0.851
"PPIG"	-0.55	-0.273	0.319	0.402	-0.153	-0.153	0.947	0.254	-0.002	0.08	1.28	0.103	-0.124
"PPIL1"	-0.553	0.983	1.203	0.704	-0.447	-2.026	1.118	0.904	1.195	1.525	1.245	2.189	-0.066
"PPIL2"	-0.578	0.381	0.208	0.326	-0.077	-1.571	0.394	0.489	-0.121	-0.145	0.437	-0.133	-0.819
"PPIP5K1"	-1.498	-0.351	-0.164	-0.084	-0.575	0.998	-0.941	0.091	-0.333	-0.076	0.854	-0.776	-1.046
"PPM1F"	-0.899	-0.78	-1.07	0.313	0.781	-0.617	-0.012	0.894	-1.684	-1.153	0.901	0.802	-0.671
"PPM1M"	-1.264	-0.895	-0.503	0.167	0.365	1.559	-0.272	0.575	-0.912	-1.466	1.611	0.113	-0.409
"PPOX"	-0.903	0.531	-0.069	0.157	0.287	-0.432	0.078	0.952	-0.53	-0.9	0.338	-0.655	-1.314
"PPP1R12A"	-0.573	-1.948	-0.594	0.406	0.161	1.597	0.938	-0.001	-0.941	-0.752	1.296	-0.46	-0.916
"PPP1R12B"	-1.28	-3.42	-1.652	-1.133	-0.373	1.194	0.21	-0.305	-1.126	-1.862	1.121	-1.233	-1.389
"PPP1R14A"	-0.774	-3.569	-3.652	0.652	-0.417	-5.602	-0.114	0.149	-3.527	-4.353	0.693	-2.902	-1.794
"PPP1R16B"	-0.547	-0.952	-1.572	0	-0.285	-0.467	-2.324	0.079	-1.072	-1.642	1.009	0.422	-0.801
"PPP1R1B"	-0.501	-2.794	-1.506	-2.454	-2.267	-0.343	-2.015	-0.053	1.063	-1.321	1.479	-5.162	2.284
"PPP1R1C"	0.59	0.636	-0.115	0.63	-1.294	-0.72	1.422	-0.685	0.439	0.737	1.726	-0.334	0.546
"PPP1R21"	-0.61	-0.27	-0.125	0.547	-0.36	1.556	-0.617	0.19	-0.321	-0.308	1.425	-0.178	0.075
"PPP1R26-AS1"	-0.609	0.217	0.597	0.228	-0.04	-1.372	-0.877	-0.216	0.036	-0.026	0.402	0.036	-0.535
"PPP1R35"	-1.103	0.893	0.134	0.997	0.645	-1.76	0.217	0.806	-0.014	-0.177	1.218	0.024	-0.623
"PPP1R3E"	-0.946	-0.08	-0.752	0.097	-0.036	0.947	-1.177	-0.51	-1.251	-1.16	-0.333	-1.406	-1.707
"PPP1R9A"	-1.29	-0.961	0.112	-0.523	-0.694	0.056	0.442	0.037	0.137	-1.152	0.141	0.674	0.026
"PPP1R9B"	-1.175	0.288	0.294	0.649	0.785	1.421	-0.536	0.461	-0.672	-0.807	1.667	0.505	0.052
"PPP2R1A"	0.977	0.368	0.739	0.139	0.025	-0.439	0.089	1.183	0.314	0.517	2.211	0.588	0.559
"PPP2R1B"	-1.16	0.244	-0.868	-0.015	-0.396	-0.446	0.643	-0.71	0.108	0.209	-0.144	-0.216	-0.678
"PPP2R2B"	0.88	-2.038	-0.585	0.269	-1.427	0.576	0.009	0.048	-0.143	0.364	1.333	-0.663	-0.452
"PPP2R2C"	1.512	-0.302	1.843	0.411	-0.057	-0.084	-2.322	0.014	0.373	3.337	1.38	-4.603	-0.144
"PPP3CB-AS1"	-1.247	-0.153	-0.591	0.223	-0.52	2.411	0.817	-0.155	-0.719	-0.741	0.328	-0.818	-1.096
"PPP4C"	0.578	1.062	1.179	0.513	0.282	-0.738	1.461	0.696	0.565	0.666	2.334	0.539	0.514
"PPP4R1"	-1.117	0.135	0.034	0.293	0.01	0.094	0.976	0.59	-0.157	-0.206	1.491	-0.814	-0.262
"PPP4R1L"	-0.818	-0.175	-1.454	0.853	0.46	-1.054	0.467	-0.259	-0.983	-0.907	1.133	-0.522	-0.953
"PPP6R2"	-0.975	-0.189	-0.497	0.182	-0.12	0.17	0.032	0.216	-1.129	-0.958	0.605	-0.403	-1.286
"PPP6R3"	-0.902	-0.401	0.028	0.255	-0.055	0.939	0.965	0.217	-0.356	-0.399	1.034	-0.388	-0.991
"PPT2-EGFL8"	-1.096	-0.199	-1.762	0.142	0.283	-0.476	0.31	-0.59	-1.803	-1.5	-0.168	-1.53	-2.113
"PQBP1"	0.833	0.165	0.192	0.3	0.319	-0.753	0.903	0.856	0.178	0.277	0.967	0.309	0.093
"PQLC1"	-0.666	-0.35	-0.829	-0.199	-0.008	1.195	-1.026	-0.354	-1.006	-1.082	0.681	-1.007	-1.855
"PQLC2L"	-0.523	-0.695	-2.864	0.023	-0.362	-0.941	-0.244	0.029	-1.408	-1.484	0.809	-1.126	-1.343
"PQLC3"	-0.61	-0.486	0.11	0.537	0.252	1.11	0.456	0.472	0.242	-0.08	1.072	0.439	-0.294
"PRAM1"	-0.739	-0.307	-0.189	0.279	1.213	6.307	0.585	-0.908	-2.361	-2.926	1.212	-0.724	-0.68
"PRC1"	1.348	2.746	2.302	1.281	1.304	-1.572	0.172	2.462	1.121	2.542	2.014	1.04	-0.184
"PRDM11"	-0.901	-1.395	-0.684	0.799	-0.346	2.792	-0.363	-0.086	-1.06	0.035	0.532	0.005	-0.979
"PRDM15"	-0.863	0.189	-0.24	0.339	0.193	0.744	0.265	-0.037	-0.394	-0.36	0.264	-0.619	-1.026
"PRDM2"	-1.152	-0.721	-0.513	0.004	-0.323	1.102	-1.265	-0.444	-0.851	-0.82	0.906	-1.052	-0.776
"PRDM4"	0.535	-0.053	0.177	0.372	-0.202	0.11	0.242	0.352	-0.152	-0.049	1	-0.01	-0.327
"PRDM5"	-1.058	-1.382	-1.195	-0.015	-0.37	0.084	1.068	-0.078	-1.125	-1.26	-0.497	-0.235	-0.802
"PRDM8"	-0.625	-2.143	-1.316	0.281	0.069	3.824	-1.879	-0.066	-0.366	-0.7	1.101	-1.358	-0.918
"PRDX3P1"	-0.5	-0.549	-0.739	0.093	0.074	2.252	-0.109	-0.212	-1.148	-1.108	-0.146	-1.506	-1.073
"PRDX4"	0.917	1.123	0.771	0.773	1.425	-1.944	2.278	0.241	1.56	1.365	-0.883	1.81	0.268
"PRDX5"	0.7	0.384	0.412	0.208	-0.233	-1.778	0.251	1.111	0.58	0.392	2.072	0.805	0.444
"PRELID1"	0.89	0.755	0.713	0.359	0.798	-1.535	0.505	0.857	0.507	0.413	0.479	0.887	0.201
"PRELID1P1"	1.09	0.479	0.823	0.222	0.488	0.601	0.629	0.675	0.683	0.796	0.721	1.114	0.545
"PRELP"	-2.457	-4.578	-2.691	-1.379	-1.22	-0.187	0.255	-1.241	-2.894	-3.74	2.302	-2.392	-3.562
"PREPL"	-0.536	-0.986	-0.002	-0.135	-0.229	-0.942	-0.544	0.176	-0.247	-0.463	0.791	0.161	-0.587
"PRICKLE1"	-0.815	-1.451	0.127	0.604	-0.822	1.305	-0.3	-0.193	-1.048	-0.848	1.75	-0.891	0.974
"PRICKLE4"	-1.711	-0.382	-0.923	-0.621	0.19	-0.111	-0.231	-0.573	-1.148	-1.794	1.053	-0.92	-2.003
"PRIM1"	0.6	1.004	0.949	0.863	0.731	-1.126	1.235	1.445	0.546	1.361	0.538	0.63	0.359
"PRIMA1"	-0.766	-2.731	-1.407	-0.088	1.787	-0.014	1.082	-0.239	-0.721	0.404	0.087	-1.598	-1.259
"PRKAA1"	-0.787	-0.289	-1.002	0.378	-0.082	0.32	0.895	-0.395	-0.29	-0.317	0.968	-0.469	-0.838
"PRKAB1"	0.626	-0.349	-0.077	0.287	-0.506	-1.283	0.868	0.561	-0.012	-0.616	1.192	-0.141	-0.152
"PRKACA"	1.019	-0.229	0.241	0.078	0.047	-0.517	-0.166	0.391	-0.472	-0.278	1.591	0.819	0.266
"PRKAG2"	-0.59	-1.671	-0.593	0.042	-0.496	2.817	0.137	-0.69	-0.412	-0.779	1.088	-1.432	-0.614
"PRKAG2-AS1"	-0.727	-1.285	-0.678	-0.523	0.227	2.057	-1.863	-0.276	-0.433	-0.587	0.512	-0.896	-0.71
"PRKAR1A"	-0.66	-0.732	-0.119	0.063	-0.407	0.383	0.481	0.406	-0.104	-0.586	1.867	1.073	0.401
"PRKAR2A"	-0.667	-0.509	0.49	-0.557	-0.702	-0.577	1.194	0.575	0.198	-0.119	1.068	0.355	0.081
"PRKCA"	-1.327	-1.054	-0.858	0.51	-1.124	-1.146	0.865	0.588	-0.25	-0.892	1.578	0.757	-0.962
"PRKCD"	-0.57	0.013	0.713	-0.108	-0.558	2.336	-0.133	0.99	-0.401	-0.974	1.961	0.694	0.369
"PRKCDBP"	-0.797	-1.57	-1.194	1.76	2.068	0.129	-0.614	0.553	-1.28	-1.613	1.691	0.789	-1.14
"PRKCSH"	0.948	0.544	0.425	0.896	0.722	0.307	0.964	1.008	0.333	0.595	1.265	1.145	0.262
"PRKCZ"	-0.539	1.1	0.872	0.147	-0.612	0.788	-2.046	0.041	-1.126	-1.684	1.097	-0.283	-0.387
"PRKD3"	-0.885	-0.28	-0.723	0.523	-0.008	0.093	1.776	0.151	-0.496	-0.383	1.313	1.166	-0.401
"PRKY"	-0.766	0.297	-0.014	-0.409	0.037	3.541	-0.555	-0.187	-2.213	-1.548	-0.484	-2.986	-1.93
"PRMT1"	0.524	0.46	0.207	0.602	0.26	-1.074	0.522	0.58	-0.094	0.62	1.715	0.575	-0.05
"PRMT5-AS1"	-0.577	0.127	-0.35	0.142	0.081	0.46	-0.195	-0.282	-0.366	-0.406	-0.111	-0.478	-1.283
"PRMT9"	-0.525	-0.43	-0.355	0.079	-0.549	0.172	0.383	-0.362	-0.52	-0.597	0.485	-0.326	-1.135
"PROB1"	-1.255	-0.125	0.061	0.29	-0.252	0.719	0.392	0.059	-0.046	0.132	0.8	0.009	-0.201
"PROCR"	-1.123	-0.176	-1.159	1.998	1.758	-1.304	1.547	0.196	-0.027	-0.073	2.733	-0.849	-0.929
"PRODH"	-0.914	-0.954	-0.838	0.388	0.783	2.45	-2	-0.394	-0.385	-1.172	0.66	-5.153	-1.079
"PROK1"	-2.386	-0.271	-0.59	-0.043	-0.042	-0.043	0.167	-0.014	-0.109	-0.115	0.053	-0.827	-0.091
"PRORSD1P"	-0.522	-0.054	-0.532	0.139	0.137	-0.092	-0.172	-0.091	-0.651	-0.668	-0.094	-0.162	-0.893
"PROS1"	-0.531	-1.465	-1.895	-0.457	1.789	-4.155	1.487	-0.271	-0.931	-1.151	2.499	0.636	2.438
"PROSER2"	-0.753	0.931	0.356	0.693	-0.867	-0.275	-0.107	-0.065	-0.371	-0.258	1.079	-0.771	-0.089
"PROX1"	-0.702	-0.683	-1.006	-0.017	-1.521	-0.014	1.336	-0.22	-0.297	-0.436	-0.488	-0.12	-1.895
"PRPF3"	-0.984	0.021	-0.292	0.7	0.649	0.789	0.285	-0.349	-0.698	-0.895	0.305	-0.902	-1.972
"PRPF31"	0.564	0.428	0.318	0.627	0.261	-0.56	0.671	0.873	0.096	0.36	1.705	0.578	-0.045
"PRPF38B"	-1.231	-0.087	-0.476	0.368	0.387	0.57	0.472	-0.603	-1.046	-1.068	0.107	-0.643	-1.268
"PRPF39"	-1.022	-0.051	-0.609	0.751	0.036	0.662	-0.115	-0.538	-1.007	-1.074	-0.242	-1.606	-1.514
"PRPF4B"	-1.233	-0.136	-0.437	0.252	-0.124	0.566	0.883	-0.044	-0.794	-0.748	0.259	-0.39	-1.006
"PRPF6"	0.726	0.12	0.634	0.338	0.24	-0.238	1.404	1.45	0.575	0.408	1.665	0.636	0.538
"PRPH2"	-0.544	-0.497	-0.285	-0.056	-0.462	0.516	-1.249	-0.014	-0.794	-0.851	0.085	-0.267	-0.624
"PRPS1P2"	-1.171	-0.063	-0.654	0.232	-0.017	1.976	0.193	-0.726	-0.844	-0.836	-0.29	-0.936	-1.721
"PRPS2"	-1.056	0.409	1.266	0.464	-0.936	-0.733	-1.116	0.638	1.105	1.525	0.561	0.413	0.768
"PRPSAP1"	-0.572	0.382	-0.159	-0.067	-0.374	-0.295	0.428	0.597	-0.472	0.02	0.734	-0.003	-1.091
"PRR11"	0.543	2.325	1.992	1.43	1.1	-0.706	1.483	1.056	1.726	2.769	1.833	2.67	0.187
"PRR14L"	-0.693	0.286	0.583	0.445	0.168	1.948	0.302	0.259	-0.004	0.302	1.142	-0.053	-0.276
"PRR16"	-0.647	-0.942	-0.908	0.761	0.933	-2.368	-0.563	0.216	-1.566	-1.468	1.259	-0.851	-1.469
"PRR22"	0.515	-0.146	-0.162	0.141	0.421	0.107	0.375	-0.736	-0.594	-0.297	-0.495	-0.987	-1.204
"PRR33"	-1.444	-0.435	-0.667	0.029	0.256	2.543	-0.014	-0.117	-0.806	-0.935	0.282	-1.747	-0.718
"PRR7"	1.013	1.067	0.683	0.497	0.959	0.003	-1.184	0.713	0.398	0.7	0.934	0.882	0.227
"PRRC1"	0.625	0.444	1.032	0.366	0.251	-1.03	1.695	0.71	0.734	0.365	1.023	0.503	0.146
"PRRC2B"	-0.821	-0.828	0.056	0.684	-0.15	0.968	0.613	0.206	-0.36	0.033	0.913	-0.128	-0.45
"PRRC2C"	-0.544	0.208	0.456	0.67	0.412	0.252	0.895	0.658	0.078	0.165	1.411	0.239	-0.355
"PRRT1"	-1.084	-0.913	-0.724	-0.015	-0.586	-2.413	-1.943	-0.248	-1.465	-0.805	0.678	-0.272	-1.274
"PRRT2"	-2.4	-1.659	-0.446	0.194	0.724	-0.599	-2.454	-0.232	-2.265	-2.691	0.316	-1.225	-1.908
"PRSS16"	0.715	1.239	-0.184	0.119	0.886	-4.019	-1.648	-0.119	1.316	0.468	-0.663	-2.23	-0.38
