"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"FAM150B"	-1.071	-1.456	-3.156	-0.541	1.532	0.243	-0.467	-1.013	-4.231	-4.001	-2.675	-3.109	-1.232
"FAM153A"	-1.768	-0.279	-0.51	-0.108	1.052	1.071	-4.045	-0.486	-1.603	-1.547	-1.514	-2.339	-1.347
"FAM153B"	-2.206	-0.313	-0.463	-0.04	-0.223	0.797	-4.835	-0.338	-2.149	-2.096	-1.47	-3.709	-1.341
"FAM153C"	-1.275	-0.176	-0.221	-0.06	2.218	0.701	-4.653	-0.164	-1.624	-1.358	-1.669	-2.362	-1.468
"FAM156A"	-0.949	-0.16	-1.349	0.492	0.558	0.494	0.588	-0.579	-1.177	-1.212	0.094	-1.578	-1.851
"FAM157B"	-0.564	0.113	-0.366	0.106	-0.082	-1.639	-0.415	-0.267	-1.004	-0.66	-0.13	-0.88	-0.752
"FAM157C"	-1.445	-0.159	-0.64	0.363	0.188	-0.907	-0.573	-0.703	-1.507	-1.387	-0.365	-1.634	-1.57
"FAM160A2"	-1.054	-0.514	-0.804	0.356	0.606	0.946	-0.138	-0.685	-1.056	-1.395	0.319	-1.533	-1.48
"FAM160B1"	-0.841	-1.011	-0.559	0.35	0.324	1.704	0.486	-0.14	-0.771	-1.016	0.638	-0.492	-0.644
"FAM160B2"	-1.039	-0.537	-1.311	0.301	0.269	0.569	-0.086	-1.174	-1.455	-1.511	0.057	-1.357	-1.93
"FAM166B"	-1.446	-0.14	-1.048	-0.656	-0.363	0.476	0.422	-0.305	-0.835	-0.96	0.1	-1.304	-0.451
"FAM167B"	-0.885	-0.037	-0.07	1.196	0.445	0.218	0.151	0.143	-1.268	-1.76	1.495	4.237	-0.26
"FAM168B"	-0.675	-0.977	-0.285	0.41	-0.406	-0.437	0.425	0.537	-0.215	0.081	0.923	0.512	-0.009
"FAM171A1"	1.242	-1.75	-1.089	-0.787	-1.713	-2.443	0.22	0.251	-0.848	-0.254	0.333	-1.119	-0.658
"FAM171B"	-1.086	-0.04	-0.188	0.166	0.024	0.242	0.476	0.144	0.142	0.869	1.159	-0.078	-0.297
"FAM174A"	0.721	-0.23	0.475	-0.077	0.549	0.492	-0.126	0.625	-0.077	-0.467	0.967	-1.018	0.527
"FAM175A"	-0.557	-1.355	-0.281	-0.353	0.017	-1.027	1.037	0.607	0.097	0.084	0.666	0.319	0.053
"FAM178A"	-0.663	-0.156	0.001	0.386	0.371	1.667	0.701	-0.072	-0.719	-0.94	0.228	-0.076	-0.721
"FAM179A"	-1.553	-0.296	-0.329	-0.038	0.006	1.498	-0.391	-0.259	-1.867	-2.232	0.359	-1.278	-0.797
"FAM180A"	-0.859	-1.773	-0.935	-0.352	-1.511	-0.084	0.281	-1.86	-1.277	-1.429	1.208	-2.127	-1.556
"FAM187A"	0.673	0.471	1.096	0.425	0.545	-0.16	0.959	0.148	0.929	0.267	0.994	0.968	0.802
"FAM193B"	-0.747	0.241	-1.626	0.552	1.366	0.693	-0.321	-1.403	-2.165	-2.454	-0.47	-2.242	-2.336
"FAM195A"	0.956	0.42	0.949	0.098	-0.232	-1.638	-0.237	0.298	0.684	0.249	0.898	1.236	-0.728
"FAM198A"	-1.094	-1.156	0.233	-0.435	-0.66	0.131	0.923	-1.864	-1.607	-1.827	0.971	-1.179	-1.321
"FAM198B"	-1.09	-0.736	0.545	1.004	1.187	2.378	0.58	0.953	0.145	-0.418	2.666	1.4	-0.462
"FAM200A"	0.512	0.314	0.568	0.354	-0.208	-0.638	0.736	0.51	0.6	0.849	1.092	0.699	0.16
"FAM207BP"	1.159	0.403	0.893	0.308	0.278	0.233	1.05	0.827	0.989	1.037	0.946	1.279	0.73
"FAM208B"	-0.534	-0.192	0.462	0.484	0.211	0.866	0.834	-0.147	-0.229	-0.127	0.636	0.026	-1.001
"FAM20A"	-1.61	-0.034	-0.917	0.399	-0.81	0.931	0.221	-0.304	-0.251	-1.532	2.415	0.189	1.917
"FAM20C"	-1.208	-1.487	-0.724	0.909	0.134	2.053	0.492	-0.074	-0.59	-0.782	2.215	0.105	0.233
"FAM213A"	0.861	-0.013	-0.884	0.433	-0.255	-0.311	-0.038	0.825	1.026	1.741	1.48	-0.052	-0.32
"FAM213B"	-0.716	0.26	1.017	0.506	0.149	-0.149	-0.794	0.966	0.067	-0.244	3.103	1.597	-0.194
"FAM214A"	-1.202	-0.417	-0.267	-0.4	0.402	2.218	1.074	-0.28	-0.526	-1.131	-0.263	-1.6	-0.895
"FAM215B"	-0.513	-0.117	-0.268	-0.071	0.115	3.9	0.108	-0.06	-0.378	-0.551	0.024	-0.948	-0.856
"FAM219A"	-0.578	-0.502	-0.659	0.955	0.836	0.16	-0.392	-0.048	-1.086	-0.946	0.558	-0.669	-1.374
"FAM219B"	-0.778	-0.555	-0.924	-0.265	0.164	0.751	0.039	-0.013	-1.217	-1.11	0.831	-0.88	-0.708
"FAM21A"	-0.845	-0.735	-0.262	0.188	-0.138	1.008	0.474	0.95	-0.726	-0.942	1.244	-0.329	-0.427
"FAM21C"	-0.858	-0.413	-0.421	0.293	0.042	1.211	0.453	0.512	-0.773	-1.051	0.981	-0.564	-0.692
"FAM220A"	0.741	0.186	0.611	0.563	0.27	-0.13	0.197	0.978	0.826	1.212	1.486	0.296	-0.139
"FAM222A"	1.614	0.301	0.874	0.046	-2.037	0.598	2.194	1.305	-0.424	0.189	0.28	0.992	0.066
